OBJECTID,Name,Class,State Abbreviation,State FIPS,Place FIPS,2020 Total Population,Population Class,People per square mile,Area in square miles,Capital,x,y
607,Sonoma,city,CA,06,0672646,10739,6,3919.3,2.74,,-122.4599698,38.29031093
608,South El Monte,city,CA,06,0672996,19567,6,6865.6,2.85,,-118.0483211,34.0493408
609,South Gate,city,CA,06,0673080,92726,7,12615.8,7.35,,-118.1925549,33.94473086
610,South Lake Tahoe,city,CA,06,0673108,21330,6,1282.6,16.63,,-120.0023289,38.9134961
611,South Pasadena,city,CA,06,0673220,26943,6,7878.1,3.42,,-118.1573209,34.11025798
612,South San Francisco,city,CA,06,0673262,66105,7,7216.7,9.16,,-122.4217959,37.65304521
613,South San Jose Hills,Census Designated Place,CA,06,0673290,19855,6,13236.7,1.5,,-117.901743,34.00943385
614,South Whittier,Census Designated Place,CA,06,0673430,56415,7,10544.9,5.35,,-118.0311464,33.93359843
615,Spring Valley,Census Designated Place,CA,06,0673696,30998,6,4200.3,7.38,,-116.9953063,32.73842481
616,Stanford,Census Designated Place,CA,06,0673906,21150,6,7553.6,2.8,,-122.1673502,37.42515404
617,Stanton,city,CA,06,0673962,37962,6,12245.8,3.1,,-117.9934488,33.80026061
618,Stevenson Ranch,Census Designated Place,CA,06,0674130,20178,6,3147.9,6.41,,-118.5885074,34.38937531
619,Stockton,city,CA,06,0675000,320804,9,4914.3,65.28,,-121.3018775,37.96628635
620,Suisun City,city,CA,06,0675630,29518,6,7252.6,4.07,,-122.0159605,38.24980224
621,Sunnyvale,city,CA,06,0677000,155805,8,7056.4,22.08,,-122.0248086,37.38171667
622,Sun Village,Census Designated Place,CA,06,0677308,12345,6,1143.1,10.8,,-117.9556121,34.55960762
623,Susanville,city,CA,06,0677364,16728,6,2091,8,,-120.6572665,40.4211642
624,Tamalpais-Homestead Valley,Census Designated Place,CA,06,0677805,11492,6,2445.1,4.7,,-122.542223,37.88365588
625,Tehachapi,city,CA,06,0678092,12939,6,1250.1,10.35,,-118.4415082,35.1319517
626,Temecula,city,CA,06,0678120,110003,8,2950.7,37.28,,-117.1344794,33.50404807
627,Temple City,city,CA,06,0678148,36494,6,9123.5,4,,-118.057968,34.1021556
628,Thousand Oaks,city,CA,06,0678582,126966,8,2291.8,55.4,,-118.8455806,34.17610736
629,Torrance,city,CA,06,0680000,147067,8,7156.5,20.55,,-118.3416375,33.83459881
630,Tracy,city,CA,06,0680238,93000,7,3574.2,26.02,,-121.4208204,37.73578516
631,Truckee,town,CA,06,0680588,16729,6,497,33.66,,-120.2063196,39.32641032
632,Tulare,city,CA,06,0680644,68875,7,3366.3,20.46,,-119.3400393,36.19962937
633,Turlock,city,CA,06,0680812,72740,7,4296.5,16.93,,-120.8586693,37.50488317
634,Tustin,city,CA,06,0680854,80276,7,7193.2,11.16,,-117.8106155,33.73091023
635,Twentynine Palms,city,CA,06,0680994,28065,6,477.7,58.75,,-116.0298503,34.13605775
636,Ukiah,city,CA,06,0681134,16607,6,3438.3,4.83,,-123.2107956,39.1469279
637,Union City,city,CA,06,0681204,70143,7,3657.1,19.18,,-122.0184645,37.60307062
638,Upland,city,CA,06,0681344,79040,7,5060.2,15.62,,-117.6603013,34.11784928
639,Vacaville,city,CA,06,0681554,102386,8,3401.5,30.1,,-121.9646185,38.35822036
640,Valinda,Census Designated Place,CA,06,0681638,22437,6,11162.7,2.01,,-117.9306795,34.03800944
641,Vallejo,city,CA,06,0681666,126090,8,4112.5,30.66,,-122.2508483,38.10229036
642,Valle Vista,Census Designated Place,CA,06,0681708,16194,6,2290.5,7.07,,-116.8871162,33.7435983
643,Victorville,city,CA,06,0682590,134810,8,1821.8,74,,-117.3308401,34.51415443
644,View Park-Windsor Hills,Census Designated Place,CA,06,0682667,11419,6,6206,1.84,,-118.3485555,33.99710575
645,Vineyard,Census Designated Place,CA,06,0682852,43935,6,2343.2,18.75,,-121.3190197,38.47449828
646,Visalia,city,CA,06,0682954,141384,8,3725.5,37.95,,-119.2994306,36.33508032
647,Vista,city,CA,06,0682996,98381,7,5247,18.75,,-117.2386013,33.18954859
648,Walnut,city,CA,06,0683332,28430,6,3162.4,8.99,,-117.8593138,34.03344101
649,Walnut Creek,city,CA,06,0683346,70127,7,3547.1,19.77,,-122.0606419,37.89933902
650,Walnut Park,Census Designated Place,CA,06,0683402,15214,6,20285.3,0.75,,-118.22049,33.96934353
651,Wasco,city,CA,06,0683542,27047,6,2880.4,9.39,,-119.347305,35.5907179
652,Watsonville,city,CA,06,0683668,52590,7,7733.8,6.8,,-121.7700437,36.92026825
653,West Carson,Census Designated Place,CA,06,0684144,22870,6,10030.7,2.28,,-118.2931209,33.82293866
654,West Covina,city,CA,06,0684200,109501,8,6809.8,16.08,,-117.9397655,34.06873634
655,West Hollywood,city,CA,06,0684410,35757,6,18919,1.89,,-118.38273,34.08486697
656,Westminster,city,CA,06,0684550,90911,7,9054.9,10.04,,-117.994347,33.7565294
657,Westmont,Census Designated Place,CA,06,0684592,33913,6,18331.4,1.85,,-118.3018416,33.94168214
658,West Puente Valley,Census Designated Place,CA,06,0684774,22959,6,12277.5,1.87,,-117.9596348,34.04202259
659,West Sacramento,city,CA,06,0684816,53915,7,2364.7,22.8,,-121.5504274,38.55559507
660,West Whittier-Los Nietos,Census Designated Place,CA,06,0684921,25325,6,10049.6,2.52,,-118.0604863,33.97848957
661,Whittier,city,CA,06,0685292,87306,7,5955.4,14.66,,-118.018798,33.96582705
662,Wildomar,city,CA,06,0685446,36875,6,1555.9,23.7,,-117.2582403,33.61727632
663,Willowbrook,Census Designated Place,CA,06,0685614,24295,6,14461.3,1.68,,-118.2383195,33.9228105
664,Windsor,town,CA,06,0685922,26344,6,3531.4,7.46,,-122.8051272,38.54434452
665,Winter Gardens,Census Designated Place,CA,06,0685992,22380,6,5063.3,4.42,,-116.9268896,32.83760739
666,Winton,Census Designated Place,CA,06,0686076,11709,6,3851.6,3.04,,-120.6173691,37.38542867
667,Woodcrest,Census Designated Place,CA,06,0686244,15378,6,1351.3,11.38,,-117.3686238,33.8789677
668,Woodland,city,CA,06,0686328,61032,7,3986.4,15.31,,-121.7794025,38.67386974
669,Yorba Linda,city,CA,06,0686832,68336,7,3421.9,19.97,,-117.819353,33.88817494
670,Yuba City,city,CA,06,0686972,70117,7,4655.8,15.06,,-121.6374373,39.1358397
671,Yucaipa,city,CA,06,0687042,54542,7,1929.3,28.27,,-117.0426256,34.0335073
672,Yucca Valley,town,CA,06,0687056,21738,6,545.8,39.83,,-116.4214802,34.12309878
673,Arvada,city,CO,08,0803455,124402,8,3143.8,39.57,,-105.1088742,39.82313242
674,Aurora,city,CO,08,0804000,386261,9,2403.5,160.71,,-104.7871863,39.69889165
675,Berkley,Census Designated Place,CO,08,0806172,12536,6,3065,4.09,,-105.0281872,39.80446609
676,Black Forest,Census Designated Place,CO,08,0806970,15097,6,149.9,100.7,,-104.6752423,39.06084989
677,Boulder,city,CO,08,0807850,108250,8,3955.1,27.37,,-105.2589696,40.01595132
678,Brighton,city,CO,08,0808675,40083,6,1860.9,21.54,,-104.8131166,39.98587429
679,Broomfield,city,CO,08,0809280,74112,7,2209,33.55,,-105.0541026,39.93578248
680,Cañon City,city,CO,08,0811810,17141,6,1382.3,12.4,,-105.2103245,38.45941069
681,Castle Rock,town,CO,08,0812415,73158,7,2133.5,34.29,,-104.8571615,39.37417429
682,Centennial,city,CO,08,0812815,108418,8,3629.7,29.87,,-104.9227948,39.58656987
683,Cherry Creek,Census Designated Place,CO,08,0813590,11488,6,6879,1.67,,-104.8568145,39.61029912
684,Cimarron Hills,Census Designated Place,CO,08,0814587,19311,6,3251,5.94,,-104.6995171,38.85900479
685,Clifton,Census Designated Place,CO,08,0815165,20413,6,3351.9,6.09,,-108.4569749,39.07746233
686,Colorado Springs,city,CO,08,0816000,478961,9,2446.7,195.76,,-104.8150755,38.82965135
687,Columbine,Census Designated Place,CO,08,0816110,25229,6,3737.6,6.75,,-105.0693814,39.58786297
688,Commerce City,city,CO,08,0816495,62418,7,1714.8,36.4,,-104.9101159,39.80817888
689,Dakota Ridge,Census Designated Place,CO,08,0819150,33892,6,3497.6,9.69,,-105.1340853,39.61940858
690,Denver,city,CO,08,0820000,715522,10,4624.3,154.73,State,-104.9825208,39.72937112
691,Durango,city,CO,08,0822035,19071,6,1115.3,17.1,,-107.8790119,37.27908285
692,Edwards,Census Designated Place,CO,08,0823300,11246,6,419.8,26.79,,-106.5915854,39.64218956
693,Englewood,city,CO,08,0824785,33659,6,5061.5,6.65,,-104.9941885,39.64682367
694,Erie,town,CO,08,0824950,30038,6,1514,19.84,,-105.0348332,40.04583542
695,Evans,city,CO,08,0825280,22165,6,2104.9,10.53,,-104.6963134,40.3788325
696,Federal Heights,city,CO,08,0826270,14382,6,8079.8,1.78,,-105.010824,39.85795196
697,Firestone,town,CO,08,0826600,16381,6,1151.2,14.23,,-104.9362101,40.12233862
698,Fort Carson,Census Designated Place,CO,08,0827370,17693,6,631.9,28,,-104.7835824,38.74028446
699,Fort Collins,city,CO,08,0827425,169810,8,2904.2,58.47,,-105.0740423,40.57676041
700,Fort Morgan,city,CO,08,0827810,11597,6,2147.6,5.4,,-103.7883961,40.25597056
701,Fountain,city,CO,08,0827865,29802,6,1322.8,22.53,,-104.7062675,38.68260651
702,Fruita,city,CO,08,0828745,13395,6,1637.5,8.18,,-108.7285853,39.15420015
703,Golden,city,CO,08,0830835,20399,6,2096.5,9.73,,-105.2143018,39.73794555
704,Grand Junction,city,CO,08,0831660,65560,7,1635.7,40.08,,-108.5662584,39.08766368
705,Greeley,city,CO,08,0832155,108795,8,2216.2,49.09,,-104.6961201,40.42135882
706,Greenwood Village,city,CO,08,0833035,15691,6,1895,8.28,,-104.914155,39.61682614
707,Highlands Ranch,Census Designated Place,CO,08,0836410,103444,8,4258.7,24.29,,-104.9707786,39.54193204
708,Johnstown,town,CO,08,0839855,17303,6,1246.6,13.88,,-104.9074165,40.33399842
709,Ken Caryl,Census Designated Place,CO,08,0840377,33811,6,3429.1,9.86,,-105.1654478,39.58422926
710,Lafayette,city,CO,08,0841835,30411,6,3228.3,9.42,,-105.0992174,39.99430815
711,Lakewood,city,CO,08,0843000,155984,8,3493.5,44.65,,-105.0897243,39.70421139
712,Littleton,city,CO,08,0845255,45652,6,3317.7,13.76,,-105.0152157,39.59360421
713,Lone Tree,city,CO,08,0845955,14253,6,1452.9,9.81,,-104.8783438,39.55363439
714,Longmont,city,CO,08,0845970,98885,7,3250.7,30.42,,-105.1007559,40.16872818
715,Louisville,city,CO,08,0846355,21226,6,2627,8.08,,-105.144018,39.97097817
716,Loveland,city,CO,08,0846465,76378,7,2127.5,35.9,,-105.0752737,40.39419898
717,Montrose,city,CO,08,0851745,20291,6,1098,18.48,,-107.858199,38.47317446
718,Northglenn,city,CO,08,0854330,38131,6,5125.1,7.44,,-104.9801708,39.89967353
719,Parker,town,CO,08,0857630,58512,7,2619.2,22.34,,-104.7550819,39.51406091
720,Pueblo,city,CO,08,0862000,111876,8,1994.9,56.08,,-104.6055976,38.2674417
721,Pueblo West,Census Designated Place,CO,08,0862220,33086,6,665.6,49.71,,-104.7265608,38.35508746
722,Security-Widefield,Census Designated Place,CO,08,0868847,38639,6,2866.4,13.48,,-104.7136773,38.74919255
723,Sherrelwood,Census Designated Place,CO,08,0869810,19228,6,7848.2,2.45,,-105.001365,39.83894148
724,Steamboat Springs,city,CO,08,0873825,13224,6,1335.8,9.9,,-106.8232843,40.47740573
725,Sterling,city,CO,08,0873935,13735,6,1812,7.58,,-103.2123777,40.62800647
726,Superior,town,CO,08,0875640,13094,6,3298.2,3.97,,-105.1583268,39.93470661
727,The Pinery,Census Designated Place,CO,08,0877235,11311,6,1085.5,10.42,,-104.7329504,39.45105273
728,Thornton,city,CO,08,0877290,141867,8,3738.3,37.95,,-104.9844226,39.86969849
729,Welby,Census Designated Place,CO,08,0883120,15553,6,4092.9,3.8,,-104.965456,39.84026708
730,Westminster,city,CO,08,0883835,116317,8,3431.2,33.9,,-105.0628372,39.88302471
731,Wheat Ridge,city,CO,08,0884440,32398,6,3381.8,9.58,,-105.1031689,39.77277254
732,Windsor,town,CO,08,0885485,32716,6,1220.3,26.81,,-104.901657,40.4771895
733,Ansonia,city,CT,09,0901150,18918,6,3056.2,6.19,,-73.06892612,41.34424748
734,Bridgeport,city,CT,09,0908000,148654,8,9142.3,16.26,,-73.19897,41.19360279
735,Bristol,city,CT,09,0908420,60833,7,2269,26.81,,-72.94069633,41.6811556
736,Danbury,city,CT,09,0918430,86518,7,1954.3,44.27,,-73.47100889,41.40156599
737,Derby,city,CT,09,0919480,12325,6,2402.5,5.13,,-73.08335195,41.32680551
738,East Hartford,Census Designated Place,CT,09,0922700,51045,7,2723.9,18.74,,-72.61522355,41.76344304
739,East Haven,Census Designated Place,CT,09,0922980,27923,6,2209.1,12.64,,-72.87045097,41.27837791
740,Greenwich,Census Designated Place,CT,09,0933690,13836,6,2858.7,4.84,,-73.63780151,41.0631492
741,Hartford,city,CT,09,0937000,121054,8,6702.9,18.06,State,-72.68339843,41.76606727
742,Manchester,Census Designated Place,CT,09,0944690,36379,6,3924.4,9.27,,-72.5191922,41.78013918
743,Meriden,city,CT,09,0946450,60850,7,2524.9,24.1,,-72.7943441,41.53673234
744,Middletown,city,CT,09,0947290,47717,6,1126.5,42.36,,-72.651943,41.53554697
745,Milford city (balance),unknown,CT,09,0947515,50558,7,2287.7,22.1,,-73.08181,41.23370327
746,Naugatuck,borough,CT,09,0949880,31519,6,1923.1,16.39,,-73.05191821,41.48902738
747,New Britain,city,CT,09,0950370,74135,7,5503.7,13.47,,-72.78622907,41.67580843
748,New Haven,city,CT,09,0952000,134023,8,7128.9,18.8,,-72.94565412,41.31742237
749,Newington,Census Designated Place,CT,09,0952210,30536,6,2323.9,13.14,,-72.73083762,41.68700309
750,New London,city,CT,09,0952280,27367,6,4860.9,5.63,,-72.10820889,41.35552824
751,North Haven,Census Designated Place,CT,09,0954940,24253,6,1151.1,21.07,,-72.85710459,41.38195064
752,Norwalk,city,CT,09,0955990,91184,7,3968,22.98,,-73.4066847,41.1128089
753,Norwich,city,CT,09,0956200,40125,6,1386,28.95,,-72.08835989,41.55020508
754,Orange,Census Designated Place,CT,09,0957670,14280,6,826.4,17.28,,-73.00079294,41.26802377
755,Shelton,city,CT,09,0968100,40869,6,1300.3,31.43,,-73.11040215,41.32356941
756,Stamford,city,CT,09,0973000,135470,8,3526,38.42,,-73.54205042,41.05238167
757,Storrs,Census Designated Place,CT,09,0973980,15979,6,2130.5,7.5,,-72.25514738,41.80451664
758,Torrington,city,CT,09,0976500,35515,6,880.8,40.32,,-73.08847227,41.80422139
759,Wallingford Center,Census Designated Place,CT,09,0978880,18278,6,2476.7,7.38,,-72.81885876,41.44991612
760,Waterbury,city,CT,09,0980000,114403,8,3953.1,28.94,,-73.03613321,41.55823912
761,West Hartford,Census Designated Place,CT,09,0982660,64083,7,2878.8,22.26,,-72.7535388,41.76693566
762,West Haven,city,CT,09,0982800,55584,7,5104.1,10.89,,-72.96703054,41.27380791
763,Wethersfield,Census Designated Place,CT,09,0984970,27298,6,2083.8,13.1,,-72.67034095,41.7013109
764,Willimantic,Census Designated Place,CT,09,0985810,18149,6,3270.1,5.55,,-72.21732866,41.71528098
765,Windsor Locks,Census Designated Place,CT,09,0987140,12613,6,1346.1,9.37,,-72.65439158,41.92671639
766,Bear,Census Designated Place,DE,10,1004130,23060,6,3989.6,5.78,,-75.68029721,39.61877529
767,Brookside,Census Designated Place,DE,10,1009850,14974,6,3849.4,3.89,,-75.71528107,39.66664299
768,Dover,city,DE,10,1021200,39403,6,1643.8,23.97,State,-75.52118763,39.16073262
769,Glasgow,Census Designated Place,DE,10,1029350,15288,6,1539.6,9.93,,-75.7626165,39.59991544
770,Hockessin,Census Designated Place,DE,10,1035850,13478,6,1341.1,10.05,,-75.68156717,39.7837562
771,Middletown,town,DE,10,1047030,23192,6,1836.3,12.63,,-75.71659596,39.44516471
772,Newark,city,DE,10,1050670,30601,6,3245.1,9.43,,-75.7561815,39.6723291
773,Pike Creek Valley,Census Designated Place,DE,10,1056500,11692,6,4073.9,2.87,,-75.6992579,39.72958235
774,Smyrna,town,DE,10,1067310,12883,6,2044.9,6.3,,-75.60548,39.27180748
775,Wilmington,city,DE,10,1077580,70898,7,6421.9,11.04,,-75.54522697,39.74721181
776,Washington,city,DC,11,1150000,689545,10,11179.4,61.68,National,-77.02764473,38.88926886
777,Alafaya,Census Designated Place,FL,12,1200410,92452,7,2950.9,31.33,,-81.1763285,28.53056944
778,Altamonte Springs,city,FL,12,1200950,46231,6,4771,9.69,,-81.35901442,28.66711565
779,Apollo Beach,Census Designated Place,FL,12,1201675,26002,6,1276.5,20.37,,-82.371665,27.77044179
780,Apopka,city,FL,12,1201700,54873,7,1526.8,35.94,,-81.50732601,28.67357724
781,Eastern Goleta Valley,Census Designated Place,CA,06,0620574,28656,6,1720,16.66,,-119.7872021,34.44521202
782,East Niles,Census Designated Place,CA,06,0620903,28390,6,5199.6,5.46,,-118.923071,35.36525202
783,East Whittier,Census Designated Place,CA,06,0621292,10394,6,9535.8,1.09,,-117.9887137,33.92436273
784,Hillcrest,Census Designated Place,CA,06,0633689,10528,6,7629,1.38,,-118.9578535,35.37897028
785,Jurupa Valley,city,CA,06,0637692,105053,8,2405.1,43.68,,-117.4705349,34.00103217
786,Marina del Rey,Census Designated Place,CA,06,0645806,11373,6,13224.4,0.86,,-118.4401689,33.97632957
787,Rancho Mission Viejo,Census Designated Place,CA,06,0659503,10378,6,274.5,37.81,,-117.5617996,33.51400564
788,Rio Vista,city,CA,06,0660984,10005,6,1509,6.63,,-121.7037839,38.17678554
789,Shasta Lake,city,CA,06,0671225,10371,6,948.9,10.93,,-122.3741565,40.67300952
790,Temescal Valley,Census Designated Place,CA,06,0678138,26232,6,1353.6,19.38,,-117.4674786,33.75787684
791,Valley Center,Census Designated Place,CA,06,0681736,10087,6,367.5,27.45,,-117.0157732,33.2331145
792,Vincent,Census Designated Place,CA,06,0682815,15714,6,10689.8,1.47,,-117.9237971,34.09824696
793,West Rancho Dominguez,Census Designated Place,CA,06,0684780,24347,6,6117.3,3.98,,-118.2687616,33.90571128
794,Berthoud,town,CO,08,0806255,10332,6,790.5,13.07,,-105.0791005,40.30740452
795,Castle Pines,city,CO,08,0812387,11036,6,1150.8,9.59,,-104.8525315,39.46031219
796,Four Square Mile,Census Designated Place,CO,08,0827950,22872,6,8471.1,2.7,,-104.8801855,39.68044807
797,Frederick,town,CO,08,0828360,14513,6,953.5,15.22,,-104.9342856,40.09781832
798,Monument,town,CO,08,0851800,10399,6,1509.3,6.89,,-104.8699686,39.08814907
799,Rifle,city,CO,08,0864255,10437,6,1457.7,7.16,,-107.7823831,39.53556605
800,Wellington,town,CO,08,0883230,11047,6,3043.3,3.63,,-105.0058979,40.69989803
801,Bethel,Census Designated Place,CT,09,0904790,11582,6,1868.1,6.2,,-73.41158319,41.37272655
802,Milford,city,DE,10,1047420,11190,6,1125.8,9.94,,-75.42450574,38.90967233
803,Alachua,city,FL,12,1200375,10574,6,289.2,36.56,,-82.49128706,29.79592039
804,Atlantic Beach,city,FL,12,1202400,13513,6,3528.2,3.83,,-81.41492178,30.3324779
805,Auburndale,city,FL,12,1202550,15616,6,758.8,20.58,,-81.7945185,28.07597133
806,Aventura,city,FL,12,1202681,40242,6,14580.4,2.76,,-80.13810454,25.95934431
807,Azalea Park,Census Designated Place,FL,12,1202850,14141,6,4576.4,3.09,,-81.29572929,28.54680085
808,Bartow,city,FL,12,1203675,19309,6,366.4,52.7,,-81.83499335,27.89578597
809,Bayonet Point,Census Designated Place,FL,12,1204162,26713,6,4597.8,5.81,,-82.68341786,28.32545109
810,Bayshore Gardens,Census Designated Place,FL,12,1204350,19904,6,5591,3.56,,-82.576725,27.43951383
811,Bellair-Meadowbrook Terrace,Census Designated Place,FL,12,1205025,14482,6,3472.9,4.17,,-81.7377535,30.17966199
812,Belle Glade,city,FL,12,1205200,16698,6,2375.2,7.03,,-80.66801889,26.68559931
813,Bellview,Census Designated Place,FL,12,1205462,25541,6,2168.2,11.78,,-87.31202213,30.46202501
814,Bloomingdale,Census Designated Place,FL,12,1206875,22947,6,2738.3,8.38,,-82.26239081,27.87839427
815,Boca Raton,city,FL,12,1207300,97422,7,3318.2,29.36,,-80.08967909,26.35208779
816,Bonita Springs,city,FL,12,1207525,53644,7,1314.2,40.82,,-81.79760138,26.33348262
817,Boynton Beach,city,FL,12,1207875,80380,7,4946.5,16.25,,-80.06552363,26.52877519
818,Bradenton,city,FL,12,1207950,55698,7,3862.6,14.42,,-82.58868294,27.48403927
819,Brandon,Census Designated Place,FL,12,1208150,114626,8,3275,35,,-82.29998699,27.93673926
820,Brent,Census Designated Place,FL,12,1208300,23447,6,2237.3,10.48,,-87.24959796,30.47283618
821,Brownsville,Census Designated Place,FL,12,1209000,16583,6,7273.2,2.28,,-80.24175688,25.82161139
822,Buenaventura Lakes,Census Designated Place,FL,12,1209415,30251,6,5354.2,5.65,,-81.35389113,28.33491905
823,Callaway,city,FL,12,1209725,13045,6,1380.4,9.45,,-85.58094548,30.14231098
824,Cape Canaveral,city,FL,12,1210250,9972,5,4471.7,2.23,,-80.60510843,28.39332622
825,Cape Coral,city,FL,12,1210275,194016,8,1686.9,115.01,,-81.95656196,26.63061627
826,Carrollwood,Census Designated Place,FL,12,1210825,34352,6,3344.9,10.27,,-82.51484337,28.05767269
827,Casselberry,city,FL,12,1211050,28794,6,3834.1,7.51,,-81.32163494,28.66185077
828,Cheval,Census Designated Place,FL,12,1211912,12522,6,1844.2,6.79,,-82.5184628,28.14592313
829,Citrus Park,Census Designated Place,FL,12,1212425,28178,6,2604.3,10.82,,-82.562212,28.05912952
830,Clearwater,city,FL,12,1212875,117292,8,4404.5,26.63,,-82.7987521,27.96619069
831,Clermont,city,FL,12,1212925,43021,6,2254.8,19.08,,-81.7606115,28.55265528
832,Cocoa,city,FL,12,1213150,19041,6,1392.9,13.67,,-80.72596009,28.34971115
833,Cocoa Beach,city,FL,12,1213175,11354,6,2252.8,5.04,,-80.63568338,28.31665892
834,Coconut Creek,city,FL,12,1213275,57833,7,4823.4,11.99,,-80.18415321,26.28051579
835,Conway,Census Designated Place,FL,12,1214050,13596,6,3776.7,3.6,,-81.33160064,28.49683976
836,Cooper City,city,FL,12,1214125,34401,6,4124.8,8.34,,-80.26896375,26.04750139
837,Coral Gables,city,FL,12,1214250,49248,6,3639.9,13.53,,-80.26080749,25.74936701
838,Coral Springs,city,FL,12,1214400,134394,8,5602.1,23.99,,-80.25887757,26.27040578
839,Coral Terrace,Census Designated Place,FL,12,1214412,23142,6,6746.9,3.43,,-80.31245125,25.7479805
840,Country Club,Census Designated Place,FL,12,1214895,49967,6,11178.3,4.47,,-80.31020269,25.94072424
841,Country Walk,Census Designated Place,FL,12,1215055,16951,6,6469.8,2.62,,-80.43527035,25.63305285
842,Crestview,city,FL,12,1215475,27134,6,1614.2,16.81,,-86.57832594,30.74787377
843,Cutler Bay,town,FL,12,1215968,45425,6,4418.8,10.28,,-80.36614342,25.57787736
844,Cypress Lake,Census Designated Place,FL,12,1216062,13727,6,3431.8,4,,-81.89996748,26.53913058
845,Dania Beach,city,FL,12,1216335,31723,6,3849.9,8.24,,-80.14154399,26.04723753
846,Davie,town,FL,12,1216475,105691,8,2954.7,35.77,,-80.23574816,26.06615099
847,Daytona Beach,city,FL,12,1216525,72647,7,1104.1,65.8,,-81.03715762,29.20344368
848,DeBary,city,FL,12,1216675,22260,6,1021.6,21.79,,-81.32397625,28.88148625
849,Deerfield Beach,city,FL,12,1216725,86859,7,5408.4,16.06,,-80.09914811,26.31848224
850,DeLand,city,FL,12,1216875,37351,6,1941.3,19.24,,-81.28899692,29.02571807
851,Delray Beach,city,FL,12,1217100,66846,7,4146.8,16.12,,-80.0790927,26.453546
852,Deltona,city,FL,12,1217200,93692,7,2294.1,40.84,,-81.21333615,28.9050451
853,Destin,city,FL,12,1217325,13931,6,1770.1,7.87,,-86.46847479,30.39459005
854,Doctor Phillips,Census Designated Place,FL,12,1217725,12328,6,2611.9,4.72,,-81.49106285,28.44729887
855,Doral,city,FL,12,1217935,75874,7,5031.4,15.08,,-80.3541295,25.80745373
856,Dunedin,city,FL,12,1218575,36068,6,3415.5,10.56,,-82.78039965,28.00862924
857,East Lake,Census Designated Place,FL,12,1219206,32344,6,1090.1,29.67,,-82.68356375,28.11704551
858,East Lake-Orient Park,Census Designated Place,FL,12,1219212,28050,6,1643.2,17.07,,-82.36530136,27.99729302
859,East Milton,Census Designated Place,FL,12,1219275,14309,6,488.9,29.27,,-86.96248176,30.61814859
860,Edgewater,city,FL,12,1219825,23097,6,934.7,24.71,,-80.90437919,28.9909811
861,Egypt Lake-Leto,Census Designated Place,FL,12,1220108,36644,6,5881.9,6.23,,-82.50616882,28.01768907
862,Elfers,Census Designated Place,FL,12,1220275,14573,6,4070.7,3.58,,-82.72300199,28.21399052
863,Englewood,Census Designated Place,FL,12,1220825,20800,6,1042.6,19.95,,-82.3547625,26.96773431
864,Ensley,Census Designated Place,FL,12,1220925,23817,6,1939.5,12.28,,-87.2734918,30.52607091
865,Estero,village,FL,12,1221150,36939,6,1462.4,25.26,,-81.80145696,26.42239801
866,Eustis,city,FL,12,1221350,23189,6,1806,12.84,,-81.67723289,28.85445897
867,Fairview Shores,Census Designated Place,FL,12,1221750,10722,6,3229.5,3.32,,-81.39527314,28.60269862
868,Fernandina Beach,city,FL,12,1222175,13052,6,1102.4,11.84,,-81.46153259,30.66709381
869,Ferry Pass,Census Designated Place,FL,12,1222275,29921,6,2108.6,14.19,,-87.20731874,30.52194874
870,Fish Hawk,Census Designated Place,FL,12,1222387,24625,6,1503.4,16.38,,-82.21640423,27.85111976
871,Fleming Island,Census Designated Place,FL,12,1222660,29142,6,1832.8,15.9,,-81.71529336,30.09544311
872,Florida City,city,FL,12,1222975,13085,6,2159.2,6.06,,-80.46850749,25.44179413
873,Florida Ridge,Census Designated Place,FL,12,1223050,21302,6,1977.9,10.77,,-80.38928117,27.58026106
874,Forest City,Census Designated Place,FL,12,1223375,14623,6,2954.1,4.95,,-81.44433505,28.66189748
875,Fort Lauderdale,city,FL,12,1224000,182760,8,5229.2,34.95,,-80.15015992,26.1350369
876,Fort Myers,city,FL,12,1224125,86395,7,2123.8,40.68,,-81.86487298,26.63811736
877,Fort Pierce,city,FL,12,1224300,47297,6,1957.7,24.16,,-80.32696011,27.44846113
878,Fort Walton Beach,city,FL,12,1224475,20922,6,2717.1,7.7,,-86.62371266,30.41627467
879,Fountainebleau,Census Designated Place,FL,12,1224562,59870,7,14426.5,4.15,,-80.34554511,25.77216635
880,Four Corners,Census Designated Place,FL,12,1224581,56381,7,1106.4,50.96,,-81.64771415,28.33281619
881,Fruit Cove,Census Designated Place,FL,12,1224925,32143,6,1937.5,16.59,,-81.63284803,30.10834388
882,Fruitville,Census Designated Place,FL,12,1225000,15484,6,2171.7,7.13,,-82.46155032,27.33276759
883,Gainesville,city,FL,12,1225175,141085,8,2193.1,64.33,,-82.31987684,29.65128846
884,Gibsonton,Census Designated Place,FL,12,1225900,18566,6,1412.9,13.14,,-82.3752439,27.82302338
885,Gifford,Census Designated Place,FL,12,1225925,5511,5,2026.1,2.72,,-80.40027125,27.67582145
886,Gladeview,Census Designated Place,FL,12,1225987,14927,6,5830.9,2.56,,-80.23687039,25.83950192
887,Glenvar Heights,Census Designated Place,FL,12,1226100,20786,6,4856.5,4.28,,-80.31554723,25.70906255
888,Golden Gate,Census Designated Place,FL,12,1226300,25321,6,6160.8,4.11,,-81.70307971,26.18439304
