agency_name,state_name,agency_id_nces_assigned_district,county_number,agency_name_district
b'FORD HEIGHTS SD 169',b'Illinois',1710950.0,17031.0,b'Ford Heights SD 169'
b'FORD SPECIAL EDUCATION COOP',b'Illinois',1700239.0,17053.0,b'Ford Special Education Coop'
b'FORDLAND R-III',b'Missouri',2912180.0,29225.0,b'FORDLAND R-III'
b'FORDVILLE-LANKIN 5',b'North Dakota',3800056.0,38099.0,b'FORDVILLE-LANKIN 5'
b'FORDYCE SCHOOL DISTRICT',b'Arkansas',506210.0,5039.0,b'FORDYCE SCHOOL DISTRICT'
b'FOREMAN SCHOOL DISTRICT',b'Arkansas',506240.0,5081.0,b'FOREMAN SCHOOL DISTRICT'
b'FOREST ACADEMY',b'Michigan',2600990.0,26077.0,b'Forest Academy'
b'FOREST AREA COMMUNITY SCHOOLS',b'Michigan',2614570.0,26079.0,b'Forest Area Community Schools'
b'FOREST AREA SD',b'Pennsylvania',4208280.0,42053.0,b'Forest Area SD'
b'FOREST CITY COMM SCHOOL DISTRICT',b'Iowa',1911790.0,19189.0,b'Forest City Comm School District'
b'FOREST CITY REGIONAL SD',b'Pennsylvania',4209930.0,42115.0,b'Forest City Regional SD'
b'FOREST GROVE',b'Oklahoma',4011850.0,40089.0,b'FOREST GROVE'
b'FOREST GROVE SD 15',b'Oregon',4105160.0,41067.0,b'Forest Grove SD 15'
b'FOREST HILLS LOCAL',b'Ohio',3904734.0,39061.0,b'Forest Hills Local'
b'FOREST HILLS PUBLIC SCHOOLS',b'Michigan',2614610.0,26081.0,b'Forest Hills Public Schools'
b'FOREST HILLS SD',b'Pennsylvania',4209940.0,42021.0,b'Forest Hills SD'
b'FOREST LAKE PUBLIC SCHOOL DISTRICT',b'Minnesota',2712270.0,27163.0,b'FOREST LAKE PUBLIC SCHOOL DISTRICT'
b'FOREST MUNICIPAL SCHOOL DIST',b'Mississippi',2801470.0,28123.0,b'FOREST MUNICIPAL SCHOOL DIST'
b'FOREST PARK SCHOOL DISTRICT',b'Michigan',2611190.0,26071.0,b'Forest Park School District'
b'FOREST PARK SD 91',b'Illinois',1715450.0,17031.0,b'Forest Park SD 91'
b'FOREST RANCH CHARTER DISTRICT',b'CALIFORNIA',601895.0,6007.0,b'Forest Ranch Charter District'
b'FOREST RIDGE SD 142',b'Illinois',1715480.0,17031.0,b'Forest Ridge SD 142'
b'FORESTBURG ISD',b'Texas',4819530.0,48337.0,b'FORESTBURG ISD'
b'FORESTHILL UNION ELEMENTARY',b'California',613980.0,6061.0,b'Foresthill Union Elementary'
b'FORESTVILLE CENTRAL SCHOOL DISTRICT',b'New York',3611250.0,36013.0,b'FORESTVILLE CENTRAL SCHOOL DISTRICT'
b'FORESTVILLE UNION ELEMENTARY',b'California',614010.0,6097.0,b'Forestville Union Elementary'
b'FORGAN',b'Oklahoma',4011880.0,40007.0,b'FORGAN'
b'FORKS OF SALMON ELEMENTARY',b'California',614040.0,6093.0,b'Forks of Salmon Elementary'
b'FORNEY ISD',b'Texas',4819560.0,48257.0,b'FORNEY ISD'
b'FORREST CITY SCHOOL DISTRICT',b'Arkansas',506270.0,5123.0,b'FORREST CITY SCHOOL DISTRICT'
b'FORREST COUNTY AG HIGH SCHOOL',b'Mississippi',2801510.0,28035.0,b'FORREST COUNTY AG HIGH SCHOOL'
b'FORREST COUNTY SCHOOL DISTRICT',b'Mississippi',2801490.0,28035.0,b'FORREST COUNTY SCHOOL DISTRICT'
b'FORRESTVILLE VALLEY CUSD 221',b'Illinois',1715490.0,17141.0,b'Forrestville Valley CUSD 221'
b'FORSAN ISD',b'Texas',4819620.0,48227.0,b'FORSAN ISD'
b'FORSYTH ACADEMY',b'North Carolina',3700083.0,37067.0,b'Forsyth Academy'
b'FORSYTH COUNTY',b'Georgia',1302220.0,13117.0,b'Forsyth County'
b'FORSYTH ELEM',b'Montana',3011160.0,30087.0,b'Forsyth Elem'
b'FORSYTH H S',b'Montana',3011190.0,30087.0,b'Forsyth H S'
b'FORSYTH R-III',b'Missouri',2912240.0,29213.0,b'FORSYTH R-III'
b'FORT ANN CENTRAL SCHOOL DISTRICT',b'New York',3611280.0,36115.0,b'FORT ANN CENTRAL SCHOOL DISTRICT'
b'FORT ATKINSON SCHOOL DISTRICT',b'Wisconsin',5504740.0,55055.0,b'Fort Atkinson School District'
b'FORT BEND ISD',b'Texas',4819650.0,48157.0,b'FORT BEND ISD'
b'FORT BENTON ELEM',b'Montana',3011240.0,30015.0,b'Fort Benton Elem'
b'FORT BENTON H S',b'Montana',3011260.0,30015.0,b'Fort Benton H S'
b'FORT BRAGG',b'North Carolina',3700148.0,37051.0,b'Fort Bragg'
b'FORT BRAGG UNIFIED',b'California',614070.0,6045.0,b'Fort Bragg Unified'
b'FORT CALHOUN COMMUNITY SCHS',b'Nebraska',3170650.0,31177.0,b'FORT CALHOUN COMMUNITY SCHS'
b'FORT CHERRY SD',b'Pennsylvania',4209960.0,42125.0,b'Fort Cherry SD'
b'FORT COBB-BROXTON',b'Oklahoma',4033602.0,40015.0,b'FORT COBB-BROXTON'
b'FORT DODGE COMM SCHOOL DISTRICT',b'Iowa',1911820.0,19187.0,b'Fort Dodge Comm School District'
b'FORT EDWARD UNION FREE SCHOOL DISTRICT',b'New York',3611310.0,36115.0,b'FORT EDWARD UNION FREE SCHOOL DISTRICT'
b'FORT ELLIOTT CISD',b'Texas',4811400.0,48483.0,b'FORT ELLIOTT CISD'
b'FORT FRYE LOCAL',b'Ohio',3905048.0,39167.0,b'Fort Frye Local'
b'FORT GIBSON',b'Oklahoma',4011970.0,40101.0,b'FORT GIBSON'
b'FORT HILL COMMUNITY SCHOOL',b'Virginia',5100072.0,51680.0,b'LYNCHBURG CITY SECONDARY ALTERNATIVE'
b'FORT HUACHUCA ACCOMMODATION DISTRICT (4167)',b'Arizona',403150.0,4003.0,b'Fort Huachuca Accommodation District (4167)'
b'FORT LEAVENWORTH',b'Kansas',2006330.0,20103.0,b'Ft Leavenworth'
b'FORT LEBOEUF SD',b'Pennsylvania',4209990.0,42049.0,b'Fort LeBoeuf SD'
b'FORT LEE SCHOOL DISTRICT',b'New Jersey',3405310.0,34003.0,b'Fort Lee School District'
b'FORT LORAMIE LOCAL',b'Ohio',3904978.0,39149.0,b'Fort Loramie Local'
b'FORT LUPTON/KEENESBURG AU',b'Colorado',800265.0,8123.0,b'Fort Lupton/Keenesburg AU'
b'FORT MADISON COMM SCHOOL DISTRICT',b'Iowa',1911850.0,19111.0,b'Fort Madison Comm School District'
b'FORT OSAGE R-I',b'Missouri',2912290.0,29095.0,b'FORT OSAGE R-I'
b'FORT PAYNE CITY',b'Alabama',101560.0,1049.0,b'Fort Payne City'
b'FORT PLAIN CENTRAL SCHOOL DISTRICT',b'New York',3611370.0,36057.0,b'FORT PLAIN CENTRAL SCHOOL DISTRICT'
b'FORT RECOVERY LOCAL',b'Ohio',3904859.0,39107.0,b'Fort Recovery Local'
b'FORT ROSS ELEMENTARY',b'California',614130.0,6097.0,b'Fort Ross Elementary'
b'FORT SAGE UNIFIED',b'California',600011.0,6035.0,b'Fort Sage Unified'
b'FORT SCOTT',b'Kansas',2006180.0,20011.0,b'Fort Scott'
b'FORT SMITH SCHOOL DISTRICT',b'Arkansas',506330.0,5131.0,b'FORT SMITH SCHOOL DISTRICT'
b'FORT STOCKTON ISD',b'Texas',4820190.0,48371.0,b'FORT STOCKTON ISD'
b'FORT SUMNER',b'New Mexico',3501050.0,35011.0,b'FORT SUMNER MUNICIPAL SCHOOLS'
b'FORT SUPPLY',b'Oklahoma',4012000.0,40153.0,b'FORT SUPPLY'
b'FORT THOMAS INDEPENDENT',b'Kentucky',2102040.0,21037.0,b'Fort Thomas Independent'
b'FORT THOMAS UNIFIED DISTRICT (4221)',b'Arizona',403200.0,4009.0,b'Fort Thomas Unified District (4221)'
b'FORT TOWSON',b'Oklahoma',4012300.0,40023.0,b'FORT TOWSON'
b'FORT WAYNE COMMUNITY SCHOOLS',b'Indiana',1803630.0,18003.0,b'Fort Wayne Community Schools'
b'FORT WORTH ACADEMY OF FINE ARTS',b'Texas',4800231.0,48439.0,b'FORT WORTH ACADEMY OF FINE ARTS'
b'FORT WORTH ISD',b'Texas',4819700.0,48439.0,b'FORT WORTH ISD'
b'FORT ZUMWALT SCHOOL DISTRICT',b'Missouri',2908370.0,29183.0,b'FT. ZUMWALT R-II'
b'FORTE PREPARATORY ACADEMY CHARTER SCHOOL',b'NEW YORK',3601164.0,36081.0,b'FORTE PREPARATORY ACADEMY CHARTER SCHOOL'
b'FORTINE ELEM',b'Montana',3011340.0,30053.0,b'Fortine Elem'
b'FORTIS ACADEMY',b'Michigan',2600314.0,26161.0,b'Fortis Academy'
b'FORTUNA ELEMENTARY',b'California',601420.0,6023.0,b'Fortuna Elementary'
b'FORTUNA UNION HIGH',b'California',614190.0,6023.0,b'Fortuna Union High'
b'FORTUNE DISTRICT',b'CALIFORNIA',602432.0,6067.0,b'Fortune District'
b'FORTY-NINER ROP',b'California',600082.0,6061.0,b'Forty-Niner ROP'
b'FOSSIL SD 21J',b'Oregon',4105250.0,41069.0,b'Fossil SD 21J'
b'FOSSTON PUBLIC SCHOOL DISTRICT',b'Minnesota',2712300.0,27119.0,b'FOSSTON PUBLIC SCHOOL DISTRICT'
b'FOSTER',b'Rhode Island',4400390.0,44007.0,b'Foster'
b'FOSTER-GLOCESTER',b'Rhode Island',4400420.0,44007.0,b'Foster-Glocester'
b'FOSTERING LEADERSHIP ACADEMY',b'MICHIGAN',2601133.0,26163.0,b'Fostering Leadership Academy'
b'FOSTORIA CITY',b'Ohio',3904399.0,39173.0,b'Fostoria City'
b'FOUKE SCHOOL DISTRICT',b'Arkansas',506360.0,5091.0,b'FOUKE SCHOOL DISTRICT'
b'FOUNDATION ACADEMY',b'Ohio',3901301.0,39139.0,b'Foundation Academy'
b'FOUNDATION ACADEMY CHARTER SCHOOL',b'New Jersey',3400717.0,34021.0,b'Foundation Academy Charter School'
b'FOUNDATION PREPARATORY ACADEMY',b'LOUISIANA',2200321.0,22071.0,b'Foundation Preparatory Academy'
b'FOUNDERS CLASSICAL ACADEMIES OF ARKANSAS',b'Arkansas',500409.0,5007.0,b'FOUNDERS CLASSICAL ACADEMIES OF ARKANSAS'
b'FOUNTAIN HILLS CHARTER SCHOOL (4356)',b'Arizona',400113.0,4013.0,b'Fountain Hills Charter School (4356)'
b'FOUNTAIN HILLS UNIFIED DISTRICT (4247)',b'Arizona',403040.0,4013.0,b'Fountain Hills Unified District (4247)'
b'FOUNTAIN LAKE SCHOOL DISTRICT',b'Arkansas',506420.0,5051.0,b'FOUNTAIN LAKE SCHOOL DISTRICT'
b'FOUNTAIN SCHOOL DISTRICT NO. 8 IN THE COUNTY OF EL PASO AN',b'Colorado',804080.0,8041.0,b'Fountain School District No. 8 in the county of El Paso an'
b'FOUNTAIN VALLEY ELEMENTARY',b'California',614220.0,6059.0,b'Fountain Valley Elementary'
b'FOUR CORNERS MONTESSORI ACADEMY',b'Michigan',2600964.0,26125.0,b'Four Corners Montessori Academy'
b'FOUR COUNTY CAREER CENTER',b'Ohio',3905096.0,39069.0,b'Four County Career Center'
b'FOUR RIVERS CHARTER PUBLIC (DISTRICT)',b'Massachusetts',2500076.0,25011.0,b'Four Rivers Charter Public (District)'
b'FOUR RIVERS SPEC EDUC DIST',b'Illinois',1700080.0,17137.0,b'Four Rivers Spec Educ Dist'
b'FOWLER',b'Kansas',2006210.0,20119.0,b'Fowler'
b'FOWLER ELEMENTARY DISTRICT (4273)',b'Arizona',403060.0,4013.0,b'Fowler Elementary District (4273)'
b'FOWLER PUBLIC SCHOOLS',b'Michigan',2614700.0,26037.0,b'Fowler Public Schools'
b'FOWLER SCHOOL DISTRICT NO. R4J',b'Colorado',804110.0,8089.0,b'Fowler School District No. R4J'
b'FOWLER UNIFIED',b'California',614250.0,6019.0,b'Fowler Unified'
b'FOWLERVILLE COMMUNITY SCHOOLS',b'Michigan',2614730.0,26093.0,b'Fowlerville Community Schools'
b'FOX',b'Oklahoma',4012060.0,40019.0,b'FOX'
b'FOX C-6',b'Missouri',2912300.0,29099.0,b'FOX C-6 SCHOOL DISTRICT'
b'FOX CHAPEL AREA SD',b'Pennsylvania',4210070.0,42003.0,b'Fox Chapel Area SD'
b'FOX LAKE GSD 114',b'Illinois',1715630.0,17097.0,b'Fox Lake GSD 114'
b'FOX POINT J2 SCHOOL DISTRICT',b'Wisconsin',5504800.0,55079.0,b'Fox Point J2 School District'
b'FOX RIVER GROVE CONS SD 3',b'Illinois',1715660.0,17111.0,b'Fox River Grove Cons SD 3'
b'FOXBOROUGH',b'Massachusetts',2504950.0,25021.0,b'Foxborough'
b'FOXBOROUGH REGIONAL CHARTER (DISTRICT)',b'Massachusetts',2500052.0,25021.0,b'Foxborough Regional Charter (District)'
b'FOXFIRE HIGH SCHOOL',b'Ohio',3900233.0,39119.0,b'Foxfire High School'
b'FOXFIRE INTERMEDIATE SCHOOL',b'Ohio',3901407.0,39119.0,b'Foxfire Intermediate School'
b'FOYIL',b'Oklahoma',4012090.0,40131.0,b'FOYIL'
b'FRAMINGHAM',b'Massachusetts',2504980.0,25017.0,b'Framingham'
b'FRANCINE DELANY NEW SCHOOL',b'North Carolina',3700017.0,37021.0,b'Francine Delany New School'
b'FRANCIS HOWELL R-III',b'Missouri',2928950.0,29183.0,b'FRANCIS HOWELL R-III'
b'FRANCIS REH PSA',b'Michigan',2600218.0,26145.0,b'Francis Reh PSA'
b'FRANCIS STREET PRIMARY SCHOOL',b'MICHIGAN',2601111.0,26075.0,b'Francis Street Primary School'
b'FRANCIS TUTTLE',b'Oklahoma',4000078.0,40109.0,b'FRANCIS TUTTLE'
b'FRANCIS W. PARKER CHARTER ESSENTIAL (DISTRICT)',b'Massachusetts',2500038.0,25017.0,b'Francis W. Parker Charter Essential (District)'
b'FRANCONIA PUBLIC SCHOOL DISTRICT',b'Minnesota',2708880.0,27163.0,b'FRANCONIA PUBLIC SCHOOL DISTRICT'
b'FRANCOPHONE CHARTER SCHOOL OF OAKLAND DISTRICT',b'CALIFORNIA',601839.0,6001.0,b'Francophone Charter School of Oakland District'
b'FRANKENMUTH SCHOOL DISTRICT',b'Michigan',2614760.0,26145.0,b'Frankenmuth School District'
b'FRANKFORD TOWNSHIP CONSOLIDATED SCHOOL DISTRICT',b'New Jersey',3405340.0,34037.0,b'Frankford Township Consolidated School District'
b'FRANKFORT CCSD 157C',b'Illinois',1715700.0,17197.0,b'Frankfort CCSD 157C'
b'FRANKFORT CUSD 168',b'Illinois',1741580.0,17055.0,b'Frankfort CUSD 168'
b'FRANKFORT INDEPENDENT',b'Kentucky',2101980.0,21073.0,b'Frankfort Independent'
b'FRANKFORT-ELBERTA AREA SCHOOLS',b'Michigan',2614790.0,26019.0,b'Frankfort-Elberta Area Schools'
b'FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT',b'New York',3611400.0,36043.0,b'FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT'
b'FRANKLIN',b'Massachusetts',2505010.0,25021.0,b'Franklin'
b'FRANKLIN',b'Florida',1200570.0,12037.0,b'FRANKLIN'
b'FRANKLIN ACADEMY',b'North Carolina',3700069.0,37183.0,b'Franklin Academy'
b'FRANKLIN AREA SD',b'Pennsylvania',4210200.0,42121.0,b'Franklin Area SD'
b'FRANKLIN BOROUGH SCHOOL DISTRICT',b'New Jersey',3405400.0,34037.0,b'Franklin Borough School District'
b'FRANKLIN CENTRAL SCHOOL DISTRICT',b'New York',3611430.0,36025.0,b'FRANKLIN CENTRAL SCHOOL DISTRICT'
b'FRANKLIN CITY',b'Ohio',3904400.0,39165.0,b'Franklin City'
b'FRANKLIN CITY PUBLIC SCHOOLS',b'Virginia',5101410.0,51620.0,b'FRANKLIN CITY PBLC SCHS'
b'FRANKLIN CO SCHOOL DIST',b'Mississippi',2801530.0,28037.0,b'FRANKLIN CO SCHOOL DIST'
b'FRANKLIN CO. R-II',b'Missouri',2912510.0,29071.0,b'FRANKLIN CO. R-II'
b'FRANKLIN COMMUNITY SCHOOL CORP',b'Indiana',1803690.0,18081.0,b'Franklin Community School Corp'
b'FRANKLIN COUNTY',b'Kentucky',2102010.0,21073.0,b'Franklin County'
b'FRANKLIN COUNTY',b'Alabama',101590.0,1059.0,b'Franklin County'
b'FRANKLIN COUNTY',b'Georgia',1302250.0,13119.0,b'Franklin County'
b'FRANKLIN COUNTY',b'Tennessee',4701290.0,47051.0,b'Franklin County'
b'FRANKLIN COUNTY CAREER AND TECHNOLOGY CENTER',b'Pennsylvania',4280230.0,42055.0,b'Franklin County CTC'
b'FRANKLIN COUNTY COMMUNITY SCH CORP',b'Indiana',1803700.0,18047.0,b'Franklin County Community Sch Corp'
b'FRANKLIN COUNTY PUBLIC SCHOOLS',b'Virginia',5101440.0,51067.0,b'FRANKLIN CO PBLC SCHS'
b'FRANKLIN COUNTY REG DEL SYSTEM',b'Illinois',1700266.0,17055.0,b'Franklin County Reg Del System'
b'FRANKLIN COUNTY REGIONAL VOCATIONAL TECHNICAL',b'Massachusetts',2505020.0,25011.0,b'Franklin County Regional Vocational Technical'
b'FRANKLIN COUNTY SCHOOLS',b'North Carolina',3701530.0,37069.0,b'Franklin County Schools'
b'FRANKLIN CUSD 1',b'Illinois',1715750.0,17137.0,b'Franklin CUSD 1'
b'FRANKLIN DISCOVERY ACADEMY',b'UTAH',4900187.0,49049.0,b'Franklin Discovery Academy'
b'FRANKLIN ELEMENTARY',b'California',614340.0,6101.0,b'Franklin Elementary'
b'FRANKLIN ISD',b'Texas',4819740.0,48395.0,b'FRANKLIN ISD'
b'FRANKLIN LAKES SCHOOL DISTRICT',b'New Jersey',3405370.0,34003.0,b'Franklin Lakes School District'
b'FRANKLIN LOCAL',b'Ohio',3904884.0,39119.0,b'Franklin Local'
b'FRANKLIN MONROE LOCAL',b'Ohio',3904664.0,39037.0,b'Franklin Monroe Local'
b'FRANKLIN NORTHEAST SUPERVISORY UNION',b'Vermont',5099920.0,50011.0,b'Franklin Northeast Supervisory Union'
b'FRANKLIN PARISH',b'Louisiana',2200660.0,22041.0,b'Franklin Parish'
b'FRANKLIN PARK SD 84',b'Illinois',1715780.0,17031.0,b'Franklin Park SD 84'
b'FRANKLIN PHONETIC PRIMARY SCHOOL INC. (4495)',b'Arizona',400092.0,4025.0,b'Franklin Phonetic Primary School Inc. (4495)'
b'FRANKLIN PHONETIC PRIMARY SCHOOL INC. (92596)',b'ARIZONA',400914.0,4025.0,b'Franklin Phonetic Primary School Inc. (92596)'
b'FRANKLIN PIERCE SCHOOL DISTRICT',b'Washington',5302940.0,53053.0,b'Franklin Pierce School District'
b'FRANKLIN PUBLIC SCHOOL DISTRICT',b'Wisconsin',5504830.0,55079.0,b'Franklin Public School District'
b'FRANKLIN PUBLIC SCHOOLS',b'Nebraska',3100065.0,31061.0,b'FRANKLIN PUBLIC SCHOOLS'
b'FRANKLIN REGIONAL SD',b'Pennsylvania',4210230.0,42129.0,b'Franklin Regional SD'
b'FRANKLIN SAU OFFICE',b'New Hampshire',3399918.0,33013.0,b'Franklin SAU Office'
b'FRANKLIN SCHOOL DISTRICT',b'New Hampshire',3303090.0,33013.0,b'Franklin School District'
b'FRANKLIN SCHOOL DISTRICT',b'Connecticut',901590.0,9011.0,b'Franklin School District'
b'FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT',b'New York',3611460.0,36059.0,b'FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT'
b'FRANKLIN SSD',b'Tennessee',4701260.0,47187.0,b'Franklin SSD'
b'FRANKLIN TOWNE CHARTER ELEMENTARY SCHOOL',b'Pennsylvania',4200817.0,42101.0,b'Franklin Towne Charter Elementary School'
b'FRANKLIN TOWNE CHS',b'Pennsylvania',4200077.0,42101.0,b'Franklin Towne CHS'
b'FRANKLIN TOWNSHIP COM SCH CORP',b'Indiana',1803750.0,18097.0,b'Franklin Township Com Sch Corp'
b'FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT',b'New Jersey',3405490.0,34035.0,b'Franklin Township Public School District'
b'FRANKLIN TOWNSHIP SCHOOL DISTRICT',b'New Jersey',3405460.0,34019.0,b'Franklin Township School District'
b'FRANKLIN TOWNSHIP SCHOOL DISTRICT',b'New Jersey',3405520.0,34041.0,b'Franklin Township School District'
b'FRANKLIN WEST SUPERVISORY UNION',b'Vermont',5099922.0,50011.0,b'Franklin West Supervisory Union'
b'FRANKLIN-ESSEX-HAMILTON BOCES',b'New York',3680340.0,36033.0,b'FRANKLIN-ESSEX-HAMILTON BOCES'
b'FRANKLIN-JEFFERSON CO SP ED DIST',b'Illinois',1700048.0,17055.0,b'Franklin-Jefferson Co Sp Ed Dist'
b'FRANKLIN-MCKINLEY ELEMENTARY',b'California',614370.0,6085.0,b'Franklin-McKinley Elementary'
b'FRANKLINTON HIGH SCHOOL',b'OHIO',3901627.0,39049.0,b'Franklinton High School'
b'FRANKLINTON PREP HIGH SCHOOL',b'OHIO',3901623.0,39049.0,b'Franklinton Prep High School'
b'FRANKLINVILLE CENTRAL SCHOOL DISTRICT',b'New York',3611490.0,36009.0,b'FRANKLINVILLE CENTRAL SCHOOL DISTRICT'
b'FRANKLN/JOHNSN/MASSC/WILLIMSN ROE',b'Illinois',1700182.0,17055.0,b'Frankln/Johnsn/Massc/Willimsn ROE'
b'FRANKSTON ISD',b'Texas',4819770.0,48001.0,b'FRANKSTON ISD'
b'FRANKTON-LAPEL COMMUNITY SCHOOLS',b'Indiana',1812880.0,18095.0,b'Frankton-Lapel Community Schools'
b'FRASER PUBLIC SCHOOLS',b'Michigan',2614820.0,26099.0,b'Fraser Public Schools'
b'FRAZEE-VERGAS PUBLIC SCHOOL DIST.',b'Minnesota',2712360.0,27005.0,b'FRAZEE-VERGAS PUBLIC SCHOOL DIST.'
b'FRAZER ELEM',b'Montana',3011420.0,30105.0,b'Frazer Elem'
b'FRAZER H S',b'Montana',3011460.0,30105.0,b'Frazer H S'
b'FRAZIER SD',b'Pennsylvania',4210350.0,42051.0,b'Frazier SD'
b'FREDERIC SCHOOL DISTRICT',b'Wisconsin',5504860.0,55095.0,b'Frederic School District'
b'FREDERICK',b'Oklahoma',4012150.0,40141.0,b'FREDERICK'
b'FREDERICK A. DOUGLASS HIGH SCHOOL',b'LOUISIANA',2200197.0,22071.0,b'KIPP Renaissance'
b'FREDERICK AREA SCHOOL DISTRICT 06-2',b'South Dakota',4621400.0,46013.0,b'Frederick Area School District 06-2'
b'FREDERICK COUNTY PUBLIC SCHOOLS',b'Maryland',2400330.0,24021.0,b'Frederick County Public Schools'
b'FREDERICK COUNTY PUBLIC SCHOOLS',b'Virginia',5101470.0,51840.0,b'FREDERICK CO PBLC SCHS'
b'FREDERICK DOUGLASS MASTERY CS',b'Pennsylvania',4200830.0,42101.0,b'Frederick Douglass Mastery CS'
b'FREDERICKSBURG CITY PUBLIC SCHOOLS',b'Virginia',5101510.0,51630.0,b'FREDERICKSBURG CITY PBLC SCHS'
b'FREDERICKSBURG ISD',b'Texas',4819840.0,48171.0,b'FREDERICKSBURG ISD'
b'FREDERICKTOWN LOCAL',b'Ohio',3904785.0,39083.0,b'Fredericktown Local'
b'FREDERICKTOWN R-I',b'Missouri',2912540.0,29123.0,b'FREDERICKTOWN R-I'
b'FREDON TOWNSHIP SCHOOL DISTRICT',b'New Jersey',3405550.0,34037.0,b'Fredon Township School District'
b'FREDONIA',b'Kansas',2006270.0,20205.0,b'Fredonia'
b'FREDONIA CENTRAL SCHOOL DISTRICT',b'New York',3611520.0,36013.0,b'FREDONIA CENTRAL SCHOOL DISTRICT'
b'FREDONIA-MOCCASIN UNIFIED DISTRICT (4195)',b'Arizona',403080.0,4005.0,b'Fredonia-Moccasin Unified District (4195)'
b'FREEBURG CCSD 70',b'Illinois',1715820.0,17163.0,b'Freeburg CCSD 70'
b'FREEBURG CHSD 77',b'Illinois',1715840.0,17163.0,b'Freeburg CHSD 77'
b'FREEDOM',b'Oklahoma',4012180.0,40151.0,b'FREEDOM'
b'FREEDOM ACADEMY INC. (89506)',b'Arizona',400755.0,4013.0,b'Freedom Academy Inc. (89506)'
b'FREEDOM AREA SCHOOL DISTRICT',b'Wisconsin',5504920.0,55087.0,b'Freedom Area School District'
b'FREEDOM AREA SD',b'Pennsylvania',4210380.0,42007.0,b'Freedom Area SD'
b'FREEDOM PREP CHARTER SCHOOL',b'New Jersey',3400080.0,34007.0,b'Freedom Prep Charter School'
b'FREEDOM PREPARATORY ACADEMY',b'Utah',4900062.0,49049.0,b'Freedom Preparatory Academy'
b'FREEDOM PREPARATORY ACADEMY (1000979)',b'ARIZONA',400999.0,4013.0,b'Freedom Preparatory Academy (1000979)'
b'FREEDOM SCHOOL DISTRICT',b'New Hampshire',3303120.0,33003.0,b'Freedom School District'
b'FREEHOLD BOROUGH SCHOOL DISTRICT',b'New Jersey',3405580.0,34025.0,b'Freehold Borough School District'
b'FREEHOLD REGIONAL HIGH SCHOOL DISTRICT',b'New Jersey',3405610.0,34025.0,b'Freehold Regional High School District'
b'FREEHOLD TOWNSHIP SCHOOL DISTRICT',b'New Jersey',3405640.0,34025.0,b'Freehold Township School District'
b'FREELAND COMMUNITY SCHOOL DISTRICT',b'Michigan',2615060.0,26145.0,b'Freeland Community School District'
b'FREEMAN PUBLIC SCHOOLS',b'Nebraska',3100116.0,31067.0,b'FREEMAN PUBLIC SCHOOLS'
b'FREEMAN SCHOOL DISTRICT',b'Washington',5302970.0,53063.0,b'Freeman School District'
b'FREEMAN SCHOOL DISTRICT 33-1',b'South Dakota',4625500.0,46067.0,b'Freeman School District 33-1'
b'FREEPORT AREA SD',b'Pennsylvania',4210440.0,42019.0,b'Freeport Area SD'
b'FREEPORT SD 145',b'Illinois',1715900.0,17177.0,b'Freeport SD 145'
b'FREEPORT UNION FREE SCHOOL DISTRICT',b'New York',3611550.0,36059.0,b'FREEPORT UNION FREE SCHOOL DISTRICT'
b'FREER ISD',b'Texas',4819820.0,48131.0,b'FREER ISD'
b'FREETOWN-LAKEVILLE',b'Massachusetts',2505070.0,25023.0,b'Freetown-Lakeville'
b'FREIRE CHARTER SCHOOL WILMINGTON',b'DELAWARE',1000059.0,10003.0,b'Freire Charter School Wilmington'
b'FREIRE CS',b'Pennsylvania',4200060.0,42101.0,b'Freire CS'
b'FRELINGHUYSEN TOWNSHIP SCHOOL DISTRICT',b'New Jersey',3405670.0,34041.0,b'Frelinghuysen Township School District'
b'FREMONT CITY',b'Ohio',3904401.0,39143.0,b'Fremont City'
b'FREMONT COMMUNITY SCHOOLS',b'Indiana',1803780.0,18151.0,b'Fremont Community Schools'
b'FREMONT COUNTY JOINT DISTRICT',b'Idaho',1601110.0,16043.0,b'FREMONT COUNTY JOINT DISTRICT'
b'FREMONT COUNTY SCHOOL DISTRICT # 1',b'Wyoming',5602870.0,56013.0,b'Fremont County School District # 1'
b'FREMONT COUNTY SCHOOL DISTRICT # 2',b'Wyoming',5602670.0,56013.0,b'Fremont County School District # 2'
b'FREMONT COUNTY SCHOOL DISTRICT # 6',b'Wyoming',5602830.0,56013.0,b'Fremont County School District # 6'
b'FREMONT COUNTY SCHOOL DISTRICT #14',b'Wyoming',5604450.0,56013.0,b'Fremont County School District #14'
b'FREMONT COUNTY SCHOOL DISTRICT #21',b'Wyoming',5602820.0,56013.0,b'Fremont County School District #21'
b'FREMONT COUNTY SCHOOL DISTRICT #24',b'Wyoming',5605700.0,56013.0,b'Fremont County School District #24'
b'FREMONT COUNTY SCHOOL DISTRICT #25',b'Wyoming',5605220.0,56013.0,b'Fremont County School District #25'
b'FREMONT COUNTY SCHOOL DISTRICT #38',b'Wyoming',5600960.0,56013.0,b'Fremont County School District #38'
